,State,County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10,FIPS
212,GEORGIA,Pike,2018,288,274,13,1,0,0,0,115,46,33,0,0,288,0,0,
213,GEORGIA,Richmond,2018,364,200,160,4,0,0,0,150,63,47,0,0,54,300,10,
214,GEORGIA,Rockdale,2018,243,200,41,2,0,0,0,112,61,36,0,0,243,0,0,
215,GEORGIA,Sumter,2018,241,219,22,0,0,0,0,80,50,34,0,0,241,0,0,
216,GEORGIA,Walker,2018,347,196,151,0,0,0,0,75,61,47,0,0,0,347,0,
217,GEORGIA,Washington,2018,121,96,25,0,0,0,0,70,56,37,0,0,0,121,0,
218,HAWAII,Hawaii,2018,365,140,211,12,2,0,0,153,89,55,0,0,0,365,0,
219,HAWAII,Honolulu,2018,365,353,12,0,0,0,0,73,43,31,1,0,200,162,2,
220,HAWAII,Kauai,2018,355,350,5,0,0,0,0,56,34,18,0,147,0,208,0,
221,HAWAII,Maui,2018,361,347,14,0,0,0,0,76,39,25,0,0,0,361,0,
222,IDAHO,Ada,2018,365,266,92,7,0,0,0,134,72,42,2,0,226,135,2,
223,IDAHO,Bannock,2018,365,298,63,2,2,0,0,174,60,29,0,0,0,310,55,
224,IDAHO,Benewah,2018,361,156,192,11,2,0,0,164,80,53,0,0,0,361,0,
225,IDAHO,Blaine,2018,363,313,47,3,0,0,0,143,55,17,0,0,0,363,0,
226,IDAHO,Boise,2018,365,169,190,6,0,0,0,130,70,52,0,0,0,365,0,
227,IDAHO,Bonner,2018,363,258,89,11,4,1,0,270,64,39,0,0,0,332,31,
228,IDAHO,Bonneville,2018,352,268,81,2,1,0,0,154,61,36,0,0,0,352,0,
229,IDAHO,Butte,2018,363,311,49,3,0,0,0,115,54,41,0,0,352,11,0,
230,IDAHO,Canyon,2018,365,254,106,5,0,0,0,134,69,35,0,0,0,324,41,
231,IDAHO,Custer,2018,90,85,3,2,0,0,0,128,26,7,0,0,0,90,0,
232,IDAHO,Franklin,2018,319,249,67,3,0,0,0,124,61,25,0,0,0,319,0,
233,IDAHO,Idaho,2018,365,248,115,2,0,0,0,134,64,43,0,0,156,209,0,
234,IDAHO,Jerome,2018,320,270,45,5,0,0,0,145,57,24,0,0,0,320,0,
235,IDAHO,Kootenai,2018,331,240,81,5,4,1,0,229,65,33,0,0,0,331,0,
236,IDAHO,Latah,2018,365,327,32,5,1,0,0,184,52,14,0,0,0,365,0,
237,IDAHO,Lemhi,2018,360,225,132,3,0,0,0,121,74,38,0,0,0,360,0,
238,IDAHO,Nez Perce,2018,365,273,87,4,1,0,0,188,67,25,0,0,0,365,0,
239,IDAHO,Shoshone,2018,365,157,195,12,1,0,0,153,85,53,0,0,0,361,4,
240,IDAHO,Twin Falls,2018,355,271,79,3,2,0,0,151,60,39,0,0,0,355,0,
241,IDAHO,Valley,2018,353,254,97,2,0,0,0,108,62,29,0,0,0,353,0,
242,ILLINOIS,Adams,2018,245,228,17,0,0,0,0,87,49,35,0,0,245,0,0,
243,ILLINOIS,Champaign,2018,365,209,152,4,0,0,0,112,65,47,0,0,148,217,0,
244,ILLINOIS,Clark,2018,359,337,21,1,0,0,0,101,48,32,0,0,359,0,0,
245,ILLINOIS,Cook,2018,365,86,260,15,4,0,0,177,86,59,0,25,91,244,5,
246,ILLINOIS,Dupage,2018,361,136,221,4,0,0,0,112,72,53,0,0,89,272,0,
247,ILLINOIS,Effingham,2018,245,214,30,1,0,0,0,112,51,39,0,0,245,0,0,
248,ILLINOIS,Hamilton,2018,362,212,147,3,0,0,0,105,63,47,0,0,111,251,0,
249,ILLINOIS,Jersey,2018,356,208,145,3,0,0,0,122,66,47,0,0,131,225,0,
250,ILLINOIS,Jo Daviess,2018,344,323,19,2,0,0,0,119,47,33,0,0,344,0,0,
251,ILLINOIS,Kane,2018,364,275,84,5,0,0,0,122,63,39,0,0,287,77,0,
252,ILLINOIS,Lake,2018,352,304,40,6,2,0,0,164,58,35,0,0,352,0,0,
253,ILLINOIS,Macon,2018,365,162,200,3,0,0,0,126,67,52,0,0,86,279,0,
254,ILLINOIS,Macoupin,2018,333,300,30,3,0,0,0,115,50,36,0,89,244,0,0,
255,ILLINOIS,Madison,2018,365,159,196,8,2,0,0,154,74,53,0,0,166,195,4,
256,ILLINOIS,Mchenry,2018,362,213,141,8,0,0,0,122,71,46,0,0,185,177,0,
257,ILLINOIS,Mclean,2018,365,169,195,1,0,0,0,108,67,52,0,0,99,266,0,
258,ILLINOIS,Peoria,2018,365,189,173,3,0,0,0,101,67,49,0,0,121,244,0,
259,ILLINOIS,Randolph,2018,363,225,137,1,0,0,0,129,61,46,0,0,150,213,0,
260,ILLINOIS,Rock Island,2018,365,212,152,1,0,0,0,101,63,46,0,0,161,204,0,
261,ILLINOIS,Saint Clair,2018,364,152,207,4,1,0,0,174,64,52,2,17,101,244,0,
262,ILLINOIS,Sangamon,2018,363,189,173,1,0,0,0,122,66,49,0,0,107,256,0,
263,ILLINOIS,Will,2018,365,194,167,4,0,0,0,126,70,49,0,0,160,205,0,
264,ILLINOIS,Winnebago,2018,362,310,49,2,1,0,0,151,54,36,0,0,335,27,0,
265,INDIANA,Allen,2018,365,193,166,6,0,0,0,122,68,50,0,0,162,203,0,
266,INDIANA,Bartholomew,2018,365,242,119,4,0,0,0,108,63,44,0,0,184,181,0,
267,INDIANA,Boone,2018,365,324,36,5,0,0,0,112,54,34,0,0,365,0,0,
268,INDIANA,Brown,2018,363,339,24,0,0,0,0,97,48,33,0,0,363,0,0,
269,INDIANA,Carroll,2018,359,337,19,3,0,0,0,115,48,32,0,0,359,0,0,
